specimen_id	order	family	genus
20170425_003	Calanoida	Calanoida (order)	Calanoida (order)
20170425_004	Calanoida	Calanoida (order)	Calanoida (order)
20170425_005	Calanoida	Calanoida (order)	Calanoida (order)
20170427_001	Unknown	Unknown	Unknown
20170427_002	Calanoida	Calanoida (order)	Calanoida (order)
20170427_003	Amphipoda	Gammaridae	Gammaridae (family)
20170427_004	Calanoida	Calanoida (order)	Calanoida (order)
20170502_001	Unknown	Unknown	Unknown
20170502_002	Amphipoda	Gammaridae	Gammaridae (family)
20170504_001	Polychaeta (class)	Polychaeta (class)	Polychaeta (class)
20170504_002	Calanoida	Calanoida (order)	Calanoida (order)
20170504_003	Calanoida	Calanoida (order)	Calanoida (order)
20170504_004	Polychaeta (class)	Polychaeta (class)	Polychaeta (class)
20170504_005	Unknown	Unknown	Unknown
20170504_006	Euphausiacea	Euphausiidae	Euphausiidae (family)
20170504_007	Calanoida	Calanoida (order)	Calanoida (order)
20170509_001	Calanoida	Calanoida (order)	Calanoida (order)
20170509_002	Polychaeta (class)	Polychaeta (class)	Polychaeta (class)
20170509_003	Polychaeta (class)	Polychaeta (class)	Polychaeta (class)
20170509_004	Cyclopoida	Oithonidae	Oithonidae (family)
20170509_005	Unknown	Unknown	Unknown
20170516_001	Cyclopoida	Poecilostomatoida	Poecilostomatoida (family)
20170516_002	Cyclopoida	Poecilostomatoida	Poecilostomatoida (family)
20170516_003	Calanoida	Calanoida (order)	Calanoida (order)
20170516_004	Calanoida	Calanidae	Calanus
20170516_005	Unknown	Unknown	Unknown
20170516_006	Amphipoda	Gammaridae	Gammaridae (family)
20170516_007	Cyclopoida	Poecilostomatoida	Poecilostomatoida (family)
20170516_008	Calanoida	Acartiidae	Acartiidae (family)
20170518_001	Amphipoda	Gammaridae	Gammaridae (family)
20170601_001	Unknown	Unknown	Unknown
20170601_002	Unknown	Unknown	Unknown
20170601_003	Calanoida	Calanoida (order)	Calanoida (order)
20171128_001	Unknown	Unknown	Unknown
20171130_001	Unknown	Unknown	Unknown
20171130_003	Unknown	Unknown	Unknown
20171130_004	Unknown	Unknown	Unknown
20171130_005	Unknown	Unknown	Unknown
20171205_001	Unknown	Unknown	Unknown
20171207_001	Unknown	Unknown	Unknown
20171207_002	Unknown	Unknown	Unknown
20171207_003	Unknown	Unknown	Unknown
20171207_004	Unknown	Unknown	Unknown
20171207_005	Unknown	Unknown	Unknown
20171207_006	Unknown	Unknown	Unknown
google_01	Copepoda Nauplia (subclass)	Copepoda Nauplia (subclass)	Copepoda Nauplia (subclass)
google_02	Cyclopoida	Poecilostomatoida	Poecilostomatoida (family)
google_03	Siphonophorae	Diphyidae	Diphyidae (family)
google_04	Polychaeta (class)	Polychaeta (class)	Polychaeta (class)
google_05	Calanoida	Calanidae	Calanus
google_06	Euphausiacea	Euphausiidae	Euphausiidae (family)
google_07	Hydromedusae	Hydromedusae (order)	Hydromedusae (order)
google_08	Mysida	Mysida (order)	Mysida (order)
google_09	Amphipoda	Gammaridae	Gammaridae (family)
google_10	Decapoda	Brachyura	Brachyura (family)
google_11	Cydippida	Cydippida (order)	Cydippida (order)
google_12	Cyclopoid	Oithonidae	Oithonidae (family)
google_13	Chordata (phylum)	Chordata (phylum)	Chordata (phylum)
google_14	Cyclopoida	Oithonidae	Oithonidae (family)
google_15	Calanoida	Tortanidae	Tortanus
google_16	Ostracoda (class)	Ostracoda (class)	Ostracoda (class)
google_17	Calanoida	Acartiidae	Acartiidae (family)
google_18	Saggittoidea (class)	Saggittoidea (class)	Saggittoidea (class)
google_19	Calanoida	Calanoida (order)	Calanoida (order)
google_20	Calanoida	Pontellidae	Pontellidae (family)
google_21	Decapoda	Sergestidae	Sergestidae (family)
google_22	Appendicularia (class)	Appendicularia (class)	Appendicularia (class)
